provider_number,year,state,state_name,uncomp_care,uncomp_care_m,expand_year,expand_ever,expanded,date_adopted,post,treat,time_to_treat,time_to_treat_bin
010034,2014,AL,Alabama,1786793.0,1.786793,,0,0,,1,0,0,0
010034,2015,AL,Alabama,1523928.0,1.523928,,0,0,,1,0,0,0
010034,2016,AL,Alabama,1567031.0,1.567031,,0,0,,1,0,0,0
010034,2017,AL,Alabama,1610973.0,1.610973,,0,0,,1,0,0,0
010034,2018,AL,Alabama,1412110.0,1.41211,,0,0,,1,0,0,0
010035,2012,AL,Alabama,8343826.0,8.343826,,0,0,,0,0,0,0
010035,2013,AL,Alabama,7532395.0,7.532395,,0,0,,0,0,0,0
010035,2014,AL,Alabama,7220797.0,7.220797,,0,0,,1,0,0,0
010035,2015,AL,Alabama,6730575.0,6.730575,,0,0,,1,0,0,0
010035,2016,AL,Alabama,7204091.0,7.204091,,0,0,,1,0,0,0
010035,2017,AL,Alabama,8212381.0,8.212381,,0,0,,1,0,0,0
010035,2018,AL,Alabama,8770198.0,8.770198,,0,0,,1,0,0,0
010036,2012,AL,Alabama,1672677.0,1.672677,,0,0,,0,0,0,0
010036,2013,AL,Alabama,2011957.0,2.011957,,0,0,,0,0,0,0
010036,2015,AL,Alabama,1979454.0,1.979454,,0,0,,1,0,0,0
010036,2016,AL,Alabama,2024236.0,2.024236,,0,0,,1,0,0,0
010036,2017,AL,Alabama,1883247.0,1.883247,,0,0,,1,0,0,0
010036,2018,AL,Alabama,2209451.0,2.209451,,0,0,,1,0,0,0
010038,2012,AL,Alabama,3129487.0,3.129487,,0,0,,0,0,0,0
010038,2013,AL,Alabama,4253421.0,4.253421,,0,0,,0,0,0,0
010038,2014,AL,Alabama,4358192.0,4.358192,,0,0,,1,0,0,0
010038,2015,AL,Alabama,1758885.0,1.758885,,0,0,,1,0,0,0
010038,2016,AL,Alabama,2612910.0,2.61291,,0,0,,1,0,0,0
010038,2017,AL,Alabama,2731300.0,2.7313,,0,0,,1,0,0,0
010038,2018,AL,Alabama,1564655.0,1.564655,,0,0,,1,0,0,0
010039,2012,AL,Alabama,50168361.0,50.168361,,0,0,,0,0,0,0
